6 CASE II   68.0314960629932 13.971183582083539
7 CASE II   64.93915533285714 14.462776103467988
8 CASE II   86.58554044380952 14.828552472622771
9 CASE II   97.92412312097503 15.223618604832271
10 CASE II   87.6163206871882 15.544051299353494
11 CASE II   98.95490336435374 15.833762412199377
12 CASE II   98.95490336435374 16.18432945985136
13 CASE II   98.95490336435374 16.585232474079188
14 CASE II   98.95490336435374 16.996092321642536
15 CASE II   105.13958482462583 17.469184220033803
16 CASE II   97.92412312097503 17.986229190086206
17 CASE II   103.07802433786847 18.41602960211195
18 CASE II   82.46241947029478 18.85525013595985
19 CASE II   97.92412312097503 19.216058756192396
20 CASE II   82.46241947029478 19.670796767412526
21 CASE II   97.92412312097503 20.00560288199368
22 CASE II   87.6163206871882 20.460625111613297
23 CASE II   87.6163206871882 20.853260225066855
