#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Recipe,K min,K max,Cost of capital,Wage
1,Agriculture,C,From 0 to 9 persons employed,0.09955437342980909,0.8106294167158087,,0,2,2173408.261909958,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
1,Agriculture,I,From 0 to 9 persons employed,0.005196672026326813,0.8106294167158087,,0,2,113450.46457871838,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
1,Agriculture,Int,From 0 to 9 persons employed,0.26656301034852237,0.8106294167158087,,0,2,5819435.44066941,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
2,Silviculture,C,From 0 to 9 persons employed,0.009989781359010911,0.14722522706550775,,0,2,218090.60307788866,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
2,Silviculture,I,From 0 to 9 persons employed,0.0006052190721657449,0.14722522706550775,,0,2,13212.760890288006,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
2,Silviculture,Int,From 0 to 9 persons employed,0.056842468591268853,0.14722522706550775,,0,2,1240948.9066869004,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
3,Fishing,C,From 0 to 9 persons employed,0.009508822191448177,0.04214535621868368,,0,2,207590.60601689378,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
3,Fishing,I,From 0 to 9 persons employed,4.984947148690226e-05,0.04214535621868368,,0,2,1088.2822064855418,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
3,Fishing,Int,From 0 to 9 persons employed,0.009746281782120829,0.04214535621868368,,0,2,212774.6739634574,211.55700043346337,211.55700043346337,423.11400086692674,0.15,7451.96111111111
4,Mining and quarrying,C,From 0 to 9 persons employed,1.0810736302285772e-05,1.0,0.0,0,9,236.01317337689625,1367.9032258064515,1367.9032258064515,12311.129032258063,0.15,63841.11851355151
4,Mining and quarrying,C,From 10 to 19 persons employed,2.728778956301098e-06,1.0,0.0,10,19,59.572980314444145,1367.9032258064515,13679.032258064515,25990.16129032258,0.15,63841.11851355151
4,Mining and quarrying,C,From 20 to 49 persons employed,1.8143235707314382e-06,1.0,0.0,20,49,39.60916735803563,1367.9032258064515,27358.06451612903,67027.25806451612,0.15,63841.11851355151
4,Mining and quarrying,C,From 50 to 249 persons employed,6.925523994264301e-07,1.0,0.0,50,249,15.119366983713784,1367.9032258064515,68395.16129032258,340607.9032258064,0.15,63841.11851355151
4,Mining and quarrying,C,250 persons employed or more,3.455758127644126e-07,1.0,0.0,250,1750,7.544393085934802,1367.9032258064515,341975.80645161285,2393830.64516129,0.15,63841.11851355151
4,Mining and quarrying,I,From 0 to 9 persons employed,1.1035786513364903e-06,1.0,0.0,0,9,24.092632757849263,1367.9032258064515,1367.9032258064515,12311.129032258063,0.15,63841.11851355151
4,Mining and quarrying,I,From 10 to 19 persons employed,2.785584733718313e-07,1.0,0.0,10,19,6.081312820257123,1367.9032258064515,13679.032258064515,25990.16129032258,0.15,63841.11851355151
4,Mining and quarrying,I,From 20 to 49 persons employed,1.852092867025588e-07,1.0,0.0,20,49,4.043372280230354,1367.9032258064515,27358.06451612903,67027.25806451612,0.15,63841.11851355151
4,Mining and quarrying,I,From 50 to 249 persons employed,7.069694621792532e-08,1.0,0.0,50,249,1.543411120056682,1367.9032258064515,68395.16129032258,340607.9032258064,0.15,63841.11851355151
4,Mining and quarrying,I,250 persons employed or more,3.5276976398400065e-08,1.0,0.0,250,1750,0.7701446889577628,1367.9032258064515,341975.80645161285,2393830.64516129,0.15,63841.11851355151
4,Mining and quarrying,Int,From 0 to 9 persons employed,0.00029345667056115087,1.0,0.0,0,9,6406.560860531921,1367.9032258064515,1367.9032258064515,12311.129032258063,0.15,63841.11851355151
4,Mining and quarrying,Int,From 10 to 19 persons employed,7.407251132784911e-05,1.0,0.0,10,19,1617.104327554954,1367.9032258064515,13679.032258064515,25990.16129032258,0.15,63841.11851355151
4,Mining and quarrying,Int,From 20 to 49 persons employed,4.924968471156706e-05,1.0,0.0,20,49,1075.1880400718792,1367.9032258064515,27358.06451612903,67027.25806451612,0.15,63841.11851355151
4,Mining and quarrying,Int,From 50 to 249 persons employed,1.8799285787948188e-05,1.0,0.0,50,249,410.41414497315264,1367.9032258064515,68395.16129032258,340607.9032258064,0.15,63841.11851355151
4,Mining and quarrying,Int,250 persons employed or more,9.38063093989872e-06,1.0,0.0,250,1750,204.7920155017458,1367.9032258064515,341975.80645161285,2393830.64516129,0.15,63841.11851355151
5,"Food, beverages and tobacco products",C,From 0 to 9 persons employed,0.0025121835316628143,0.1149449637505493,1.0,0,9,54844.40567545408,106.62690820272746,106.62690820272746,959.6421738245472,0.15,42663.13644651836
