#,NACE definition,type,dimensional class,Share of firms,Share of firms per sbs sector,sbs reference row,L min,L max,Firms in absolute numbers,Recipe,K min,K max,Cost of capital,Wage
5,"Food, beverages and tobacco products",C,From 10 to 19 persons employed,0.00044640858641060586,0.1149449637505493,1.0,10,19,9745.710574698322,106.62690820272746,1066.2690820272746,2025.9112558518218,0.15,42663.13644651836
5,"Food, beverages and tobacco products",C,From 20 to 49 persons employed,0.00027641021603927956,0.1149449637505493,1.0,20,49,6034.41342172323,106.62690820272746,2132.5381640545493,5224.718501933646,0.15,42663.13644651836
5,"Food, beverages and tobacco products",C,From 50 to 249 persons employed,0.0001321502314275846,0.1149449637505493,1.0,50,249,2885.0204657309964,106.62690820272746,5331.345410136373,26550.10014247914,0.15,42663.13644651836
5,"Food, beverages and tobacco products",C,250 persons employed or more,4.412946270146344e-05,0.1149449637505493,1.0,250,1750,963.4065840073852,106.62690820272746,26656.727050681868,186597.08935477305,0.15,42663.13644651836
5,"Food, beverages and tobacco products",I,From 0 to 9 persons employed,1.990885968023584e-09,0.1149449637505493,1.0,0,9,0.04346376620484506,106.62690820272746,106.62690820272746,959.6421738245472,0.15,42663.13644651836
5,"Food, beverages and tobacco products",I,From 10 to 19 persons employed,3.537753430386736e-10,0.1149449637505493,1.0,10,19,0.007723400056978864,106.62690820272746,1066.2690820272746,2025.9112558518218,0.15,42663.13644651836
5,"Food, beverages and tobacco products",I,From 20 to 49 persons employed,2.1905295277798617e-10,0.1149449637505493,1.0,20,49,0.004782225842635791,106.62690820272746,2132.5381640545493,5224.718501933646,0.15,42663.13644651836
5,"Food, beverages and tobacco products",I,From 50 to 249 persons employed,1.0472803364255163e-10,0.1149449637505493,1.0,50,249,0.002286356347094959,106.62690820272746,5331.345410136373,26550.10014247914,0.15,42663.13644651836
5,"Food, beverages and tobacco products",I,250 persons employed or more,3.497225698737516e-11,0.1149449637505493,1.0,250,1750,0.0007634922470542156,106.62690820272746,26656.727050681868,186597.08935477305,0.15,42663.13644651836
5,"Food, beverages and tobacco products",Int,From 0 to 9 persons employed,0.0018403207281488905,0.1149449637505493,1.0,0,9,40176.720894567115,106.62690820272746,106.62690820272746,959.6421738245472,0.15,42663.13644651836
5,"Food, beverages and tobacco products",Int,From 10 to 19 persons employed,0.0003270202851187823,0.1149449637505493,1.0,10,19,7139.300514913345,106.62690820272746,1066.2690820272746,2025.9112558518218,0.15,42663.13644651836
5,"Food, beverages and tobacco products",Int,From 20 to 49 persons employed,0.00020248657935931198,0.1149449637505493,1.0,20,49,4420.559231540923,106.62690820272746,2132.5381640545493,5224.718501933646,0.15,42663.13644651836
5,"Food, beverages and tobacco products",Int,From 50 to 249 persons employed,9.680773998422145e-05,0.1149449637505493,1.0,50,249,2113.4454936515926,106.62690820272746,5331.345410136373,26550.10014247914,0.15,42663.13644651836
5,"Food, beverages and tobacco products",Int,250 persons employed or more,3.232740120616189e-05,0.1149449637505493,1.0,250,1750,705.7514245427653,106.62690820272746,26656.727050681868,186597.08935477305,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",C,From 0 to 9 persons employed,0.0006612761378212302,0.03094387162144041,1.0,0,9,14436.563375670132,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",C,From 10 to 19 persons employed,0.00011750707788313851,0.03094387162144041,1.0,10,19,2565.340377378536,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",C,From 20 to 49 persons employed,7.275880834860907e-05,0.03094387162144041,1.0,20,49,1588.4243930587654,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",C,From 50 to 249 persons employed,3.4785593309248756e-05,0.03094387162144041,1.0,50,249,759.4171234181407,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",C,250 persons employed or more,1.1616094242937083e-05,0.03094387162144041,1.0,250,1750,253.5952397563351,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",I,From 0 to 9 persons employed,6.630030203725631e-06,0.03094387162144041,1.0,0,9,144.74263585867942,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",I,From 10 to 19 persons employed,1.1781394049445713e-06,0.03094387162144041,1.0,10,19,25.72039608278536,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",I,From 20 to 49 persons employed,7.294881356640958e-07,0.03094387162144041,1.0,20,49,15.925724670804934,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",I,From 50 to 249 persons employed,3.4876433777682145e-07,0.03094387162144041,1.0,50,249,7.6140029520464285,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",I,250 persons employed or more,1.1646428968954658e-07,0.03094387162144041,1.0,250,1750,2.5425748835353867,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",Int,From 0 to 9 persons employed,0.0005038145429875972,0.03094387162144041,1.0,0,9,10998.961195528596,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",Int,From 10 to 19 persons employed,8.95265553306659e-05,0.03094387162144041,1.0,10,19,1954.4872647226844,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",Int,From 20 to 49 persons employed,5.5433643647347994e-05,0.03094387162144041,1.0,20,49,1210.19232947976,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",Int,From 50 to 249 persons employed,2.6502525636860997e-05,0.03094387162144041,1.0,50,249,578.5864166102724,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
6,"Textiles, wearing apparel, leather and related products",Int,250 persons employed or more,8.850095864019119e-06,0.03094387162144041,1.0,250,1750,193.2097084927752,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 0 to 9 persons employed,5.593265200052051e-05,0.022094849345970554,1.0,0,9,1221.0863649719513,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 10 to 19 persons employed,9.939089162495164e-06,0.022094849345970554,1.0,10,19,216.9839230303329,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 20 to 49 persons employed,6.154150852537635e-06,0.022094849345970554,1.0,20,49,134.3535381434137,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,From 50 to 249 persons employed,2.942266284714834e-06,0.022094849345970554,1.0,50,249,64.23370095786859,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,250 persons employed or more,9.825229124948329e-07,0.022094849345970554,1.0,250,1750,21.449820253629408,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 0 to 9 persons employed,4.737488953582477e-05,0.022094849345970554,1.0,0,9,1034.2586947908294,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 10 to 19 persons employed,8.41839666668299e-06,0.022094849345970554,1.0,10,19,183.78512401872635,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 20 to 49 persons employed,5.2125584322920915e-06,0.022094849345970554,1.0,20,49,113.79728656943017,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,From 50 to 249 persons employed,2.4920960340312424e-06,0.022094849345970554,1.0,50,249,54.40586810237261,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",I,250 persons employed or more,8.321957350677091e-07,0.022094849345970554,1.0,250,1750,18.167972172489396,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 0 to 9 persons employed,0.0007333360724915088,0.022094849345970554,1.0,0,9,16009.730399572878,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 10 to 19 persons employed,0.00013031194391603844,0.022094849345970554,1.0,10,19,2844.88813273834,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 20 to 49 persons employed,8.06874098456519e-05,0.022094849345970554,1.0,20,49,1761.5166179946598,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,From 50 to 249 persons employed,3.8576214863491194e-05,0.022094849345970554,1.0,50,249,842.1715813081609,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
7,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Int,250 persons employed or more,1.2881911870997537e-05,0.022094849345970554,1.0,250,1750,281.2297714812276,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
8,Paper and paper products,C,From 0 to 9 persons employed,0.00013901793064970196,0.02274178639357408,1.0,0,9,3034.951741630053,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
8,Paper and paper products,C,From 10 to 19 persons employed,2.4703130613225683e-05,0.02274178639357408,1.0,10,19,539.3031598725262,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
8,Paper and paper products,C,From 20 to 49 persons employed,1.5295847520656084e-05,0.02274178639357408,1.0,20,49,333.9292913911781,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
8,Paper and paper products,C,From 50 to 249 persons employed,7.312862088456606e-06,0.02274178639357408,1.0,50,249,159.64979069920682,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
8,Paper and paper products,C,250 persons employed or more,2.44201369371291e-06,0.02274178639357408,1.0,250,1750,53.31250205049952,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
8,Paper and paper products,I,From 0 to 9 persons employed,2.3459249010735092e-09,0.02274178639357408,1.0,0,9,0.05121475216162428,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
8,Paper and paper products,I,From 10 to 19 persons employed,4.168648531106709e-10,0.02274178639357408,1.0,10,19,0.009100730431389854,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
8,Paper and paper products,I,From 20 to 49 persons employed,2.581171321859806e-10,0.02274178639357408,1.0,20,49,0.0056350503579739196,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
8,Paper and paper products,I,From 50 to 249 persons employed,1.2340440683623109e-10,0.02274178639357408,1.0,50,249,0.0026940871418678833,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
8,Paper and paper products,I,250 persons employed or more,4.120893402793502e-11,0.02274178639357408,1.0,250,1750,0.0008996474448605057,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
8,Paper and paper products,Int,From 0 to 9 persons employed,0.0007221202571235466,0.02274178639357408,1.0,0,9,15764.873795639023,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
8,Paper and paper products,Int,From 10 to 19 persons employed,0.0001283189222196736,0.02274178639357408,1.0,10,19,2801.3777406599934,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
8,Paper and paper products,Int,From 20 to 49 persons employed,7.945335751235636e-05,0.02274178639357408,1.0,20,49,1734.5755661411738,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
8,Paper and paper products,Int,From 50 to 249 persons employed,3.798622110792182e-05,0.02274178639357408,1.0,50,249,829.2912099226301,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
8,Paper and paper products,Int,250 persons employed or more,1.2684892863544929e-05,0.02274178639357408,1.0,250,1750,276.928576829516,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
9,Printing and recording services,C,From 0 to 9 persons employed,3.730087070991377e-05,0.012872445724610548,1.0,0,9,814.3290724894194,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
9,Printing and recording services,C,From 10 to 19 persons employed,6.62826929467044e-06,0.012872445724610548,1.0,10,19,144.7041928033201,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
9,Printing and recording services,C,From 20 to 49 persons employed,4.104135546400977e-06,0.012872445724610548,1.0,20,49,89.59889753949635,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
9,Printing and recording services,C,From 50 to 249 persons employed,1.9621650387552697e-06,0.012872445724610548,1.0,50,249,42.83674899996559,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
9,Printing and recording services,C,250 persons employed or more,6.552337287378513e-07,0.012872445724610548,1.0,250,1750,14.304649313321937,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
9,Printing and recording services,I,From 0 to 9 persons employed,4.1321854986216485e-08,0.012872445724610548,1.0,0,9,0.902112663968582,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
9,Printing and recording services,I,From 10 to 19 persons employed,7.342787913290417e-09,0.012872445724610548,1.0,10,19,0.1603031124237831,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
9,Printing and recording services,I,From 20 to 49 persons employed,4.5465559024359195e-09,0.012872445724610548,1.0,20,49,0.09925753958520656,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
9,Printing and recording services,I,From 50 to 249 persons employed,2.173683821512502e-09,0.012872445724610548,1.0,50,249,0.04745449359676957,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
9,Printing and recording services,I,250 persons employed or more,7.258670536553273e-10,0.012872445724610548,1.0,250,1750,0.01584667149329225,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
9,Printing and recording services,Int,From 0 to 9 persons employed,0.0004500858656119091,0.012872445724610548,1.0,0,9,9825.990613857999,77.54832319230225,77.54832319230225,697.9349087307203,0.15,42663.13644651836
9,Printing and recording services,Int,From 10 to 19 persons employed,7.997910682035873e-05,0.012872445724610548,1.0,10,19,1746.053393285668,77.54832319230225,775.4832319230225,1473.4181406537427,0.15,42663.13644651836
9,Printing and recording services,Int,From 20 to 49 persons employed,4.9521991439721e-05,0.012872445724610548,1.0,20,49,1081.1328687353905,77.54832319230225,1550.966463846045,3799.8678364228103,0.15,42663.13644651836
9,Printing and recording services,Int,From 50 to 249 persons employed,2.367619664456976e-05,0.012872445724610548,1.0,50,249,516.8837854641642,77.54832319230225,3877.4161596151125,19309.53247488326,0.15,42663.13644651836
9,Printing and recording services,Int,250 persons employed or more,7.906288361754343e-06,0.012872445724610548,1.0,250,1750,172.60509864586453,77.54832319230225,19387.080798075564,135709.56558652894,0.15,42663.13644651836
10,Coke and refined petroleum products,C,From 0 to 9 persons employed,0.000164965833895319,0.013504031591214912,1.0,0,9,3601.4299921614165,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
10,Coke and refined petroleum products,C,From 10 to 19 persons employed,2.9314006634902352e-05,0.013504031591214912,1.0,10,19,639.9648957150015,388.48648648648646,3884.8648648648646,7381.243243243242,0.15,42663.13644651836
10,Coke and refined petroleum products,C,From 20 to 49 persons employed,1.8150840180026006e-05,0.013504031591214912,1.0,20,49,396.2576896301742,388.48648648648646,7769.729729729729,19035.837837837837,0.15,42663.13644651836
10,Coke and refined petroleum products,C,From 50 to 249 persons employed,8.677818659403953e-06,0.013504031591214912,1.0,50,249,189.44866126853302,388.48648648648646,19424.324324324323,96733.13513513513,0.15,42663.13644651836
10,Coke and refined petroleum products,C,250 persons employed or more,2.8978191768818567e-06,0.013504031591214912,1.0,250,1750,63.263359745784086,388.48648648648646,97121.62162162161,679851.3513513512,0.15,42663.13644651836
10,Coke and refined petroleum products,I,From 0 to 9 persons employed,0.0,0.013504031591214912,1.0,0,9,0.0,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
10,Coke and refined petroleum products,I,From 10 to 19 persons employed,0.0,0.013504031591214912,1.0,10,19,0.0,388.48648648648646,3884.8648648648646,7381.243243243242,0.15,42663.13644651836
10,Coke and refined petroleum products,I,From 20 to 49 persons employed,0.0,0.013504031591214912,1.0,20,49,0.0,388.48648648648646,7769.729729729729,19035.837837837837,0.15,42663.13644651836
10,Coke and refined petroleum products,I,From 50 to 249 persons employed,0.0,0.013504031591214912,1.0,50,249,0.0,388.48648648648646,19424.324324324323,96733.13513513513,0.15,42663.13644651836
10,Coke and refined petroleum products,I,250 persons employed or more,0.0,0.013504031591214912,1.0,250,1750,0.0,388.48648648648646,97121.62162162161,679851.3513513512,0.15,42663.13644651836
10,Coke and refined petroleum products,Int,From 0 to 9 persons employed,0.00034637785609823997,0.013504031591214912,1.0,0,9,7561.902789909577,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
10,Coke and refined petroleum products,Int,From 10 to 19 persons employed,6.155045885616668e-05,0.013504031591214912,1.0,10,19,1343.7307794082926,388.48648648648646,3884.8648648648646,7381.243243243242,0.15,42663.13644651836
10,Coke and refined petroleum products,Int,From 20 to 49 persons employed,3.811121951427057e-05,0.013504031591214912,1.0,20,49,832.0200962560416,388.48648648648646,7769.729729729729,19035.837837837837,0.15,42663.13644651836
10,Coke and refined petroleum products,Int,From 50 to 249 persons employed,1.8220768215320345e-05,0.013504031591214912,1.0,50,249,397.7843143721299,388.48648648648646,19424.324324324323,96733.13513513513,0.15,42663.13644651836
10,Coke and refined petroleum products,Int,250 persons employed or more,6.084535022480104e-06,0.013504031591214912,1.0,250,1750,132.83372926918645,388.48648648648646,97121.62162162161,679851.3513513512,0.15,42663.13644651836
11,Chemicals and chemical products,C,From 0 to 9 persons employed,0.00024595233710950396,0.06356067823033243,1.0,0,9,5369.476227849975,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
11,Chemicals and chemical products,C,From 10 to 19 persons employed,4.370510106033734e-05,0.06356067823033243,1.0,10,19,954.1421884305157,388.48648648648646,3884.8648648648646,7381.243243243242,0.15,42663.13644651836
11,Chemicals and chemical products,C,From 20 to 49 persons employed,2.7061613046561646e-05,0.06356067823033243,1.0,20,49,590.7920601547015,388.48648648648646,7769.729729729729,19035.837837837837,0.15,42663.13644651836
11,Chemicals and chemical products,C,From 50 to 249 persons employed,1.293801104080272e-05,0.06356067823033243,1.0,50,249,282.4544931578382,388.48648648648646,19424.324324324323,96733.13513513513,0.15,42663.13644651836
11,Chemicals and chemical products,C,250 persons employed or more,4.320442495547896e-06,0.06356067823033243,1.0,250,1750,94.32117436358698,388.48648648648646,97121.62162162161,679851.3513513512,0.15,42663.13644651836
11,Chemicals and chemical products,I,From 0 to 9 persons employed,1.6556181443787093e-07,0.06356067823033243,1.0,0,9,3.6144410633026878,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
11,Chemicals and chemical products,I,From 10 to 19 persons employed,2.9419910852558275e-08,0.06356067823033243,1.0,10,19,0.6422769297693043,388.48648648648646,3884.8648648648646,7381.243243243242,0.15,42663.13644651836
11,Chemicals and chemical products,I,From 20 to 49 persons employed,1.8216414652768828e-08,0.06356067823033243,1.0,20,49,0.39768927014160316,388.48648648648646,7769.729729729729,19035.837837837837,0.15,42663.13644651836
11,Chemicals and chemical products,I,From 50 to 249 persons employed,8.70916946066187e-09,0.06356067823033243,1.0,50,249,0.1901330921792403,388.48648648648646,19424.324324324323,96733.13513513513,0.15,42663.13644651836
11,Chemicals and chemical products,I,250 persons employed or more,2.9082882770856685e-09,0.06356067823033243,1.0,250,1750,0.06349191453543147,388.48648648648646,97121.62162162161,679851.3513513512,0.15,42663.13644651836
11,Chemicals and chemical products,Int,From 0 to 9 persons employed,0.0021606708830228735,0.06356067823033243,1.0,0,9,47170.40333482819,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
11,Chemicals and chemical products,Int,From 10 to 19 persons employed,0.00038394568805662303,0.06356067823033243,1.0,10,19,8382.05999192303,388.48648648648646,3884.8648648648646,7381.243243243242,0.15,42663.13644651836
11,Chemicals and chemical products,Int,From 20 to 49 persons employed,0.00023773402621217964,0.06356067823033243,1.0,20,49,5190.059250093766,388.48648648648646,7769.729729729729,19035.837837837837,0.15,42663.13644651836
11,Chemicals and chemical products,Int,From 50 to 249 persons employed,0.00011365935395704228,0.06356067823033243,1.0,50,249,2481.3392965378002,388.48648648648646,19424.324324324323,96733.13513513513,0.15,42663.13644651836
11,Chemicals and chemical products,Int,250 persons employed or more,3.795472899998842e-05,0.06356067823033243,1.0,250,1750,828.6036940937482,388.48648648648646,97121.62162162161,679851.3513513512,0.15,42663.13644651836
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 0 to 9 persons employed,0.000425558547838475,0.03273716299284782,1.0,0,9,9290.5256889659,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 10 to 19 persons employed,7.562066520266561e-05,0.03273716299284782,1.0,10,19,1650.9026460648527,388.48648648648646,3884.8648648648646,7381.243243243242,0.15,42663.13644651836
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 20 to 49 persons employed,4.682330278136029e-05,0.03273716299284782,1.0,20,49,1022.2168008186028,388.48648648648646,7769.729729729729,19035.837837837837,0.15,42663.13644651836
12,Basic pharmaceutical products and pharmaceutical preparations,C,From 50 to 249 persons employed,2.2385968172324413e-05,0.03273716299284782,1.0,50,249,488.71633159226985,388.48648648648646,19424.324324324323,96733.13513513513,0.15,42663.13644651836
12,Basic pharmaceutical products and pharmaceutical preparations,C,250 persons employed or more,7.475437135636606e-06,0.03273716299284782,1.0,250,1750,163.19902654438582,388.48648648648646,97121.62162162161,679851.3513513512,0.15,42663.13644651836
12,Basic pharmaceutical products and pharmaceutical preparations,I,From 0 to 9 persons employed,2.571494034609699e-09,0.03273716299284782,1.0,0,9,0.05613923515086311,388.48648648648646,388.48648648648646,3496.3783783783783,0.15,42663.13644651836
