freq,unit,ind_use,stk_flow,prd_ava,geo\TIME_PERIOD	2022 
A,MIO_EUR,C10-12,TOTAL,ADJ_P6,EU27_2020	0 
A,MIO_EUR,C10-12,TOTAL,B1G,EU27_2020	284672.03 
A,MIO_EUR,C10-12,TOTAL,B2A3G,EU27_2020	135202.05 
A,MIO_EUR,C10-12,TOTAL,B2A3N,EU27_2020	0 
A,MIO_EUR,C10-12,TOTAL,B3G,EU27_2020	0 
A,MIO_EUR,C10-12,TOTAL,CPA_A01,EU27_2020	267542.11 
A,MIO_EUR,C10-12,TOTAL,CPA_A02,EU27_2020	312.45 
A,MIO_EUR,C10-12,TOTAL,CPA_A03,EU27_2020	6627.63 
A,MIO_EUR,C10-12,TOTAL,CPA_B,EU27_2020	2658.86 
A,MIO_EUR,C10-12,TOTAL,CPA_C10-12,EU27_2020	242330.57 
A,MIO_EUR,C10-12,TOTAL,CPA_C13-15,EU27_2020	1227.78 
A,MIO_EUR,C10-12,TOTAL,CPA_C16,EU27_2020	2956.61 
A,MIO_EUR,C10-12,TOTAL,CPA_C17,EU27_2020	18548.17 
A,MIO_EUR,C10-12,TOTAL,CPA_C18,EU27_2020	1521.95 
A,MIO_EUR,C10-12,TOTAL,CPA_C19,EU27_2020	3247.98 
A,MIO_EUR,C10-12,TOTAL,CPA_C20,EU27_2020	12886.13 
A,MIO_EUR,C10-12,TOTAL,CPA_C21,EU27_2020	2417.59 
A,MIO_EUR,C10-12,TOTAL,CPA_C22,EU27_2020	19590.58 
A,MIO_EUR,C10-12,TOTAL,CPA_C23,EU27_2020	6810.3 
A,MIO_EUR,C10-12,TOTAL,CPA_C24,EU27_2020	1712.08 
A,MIO_EUR,C10-12,TOTAL,CPA_C25,EU27_2020	10412.24 
A,MIO_EUR,C10-12,TOTAL,CPA_C26,EU27_2020	304.18 
A,MIO_EUR,C10-12,TOTAL,CPA_C27,EU27_2020	787.58 
A,MIO_EUR,C10-12,TOTAL,CPA_C28,EU27_2020	3901.27 
A,MIO_EUR,C10-12,TOTAL,CPA_C29,EU27_2020	589.47 
A,MIO_EUR,C10-12,TOTAL,CPA_C30,EU27_2020	32.61 
A,MIO_EUR,C10-12,TOTAL,CPA_C31_32,EU27_2020	741.17 
A,MIO_EUR,C10-12,TOTAL,CPA_C33,EU27_2020	6145.04 
A,MIO_EUR,C10-12,TOTAL,CPA_D,EU27_2020	23280.59 
A,MIO_EUR,C10-12,TOTAL,CPA_E36,EU27_2020	1778.37 
A,MIO_EUR,C10-12,TOTAL,CPA_E37-39,EU27_2020	7708.79 
A,MIO_EUR,C10-12,TOTAL,CPA_F,EU27_2020	5515.5 
A,MIO_EUR,C10-12,TOTAL,CPA_G45,EU27_2020	2656.89 
A,MIO_EUR,C10-12,TOTAL,CPA_G46,EU27_2020	107827.99 
A,MIO_EUR,C10-12,TOTAL,CPA_G47,EU27_2020	27763.57 
A,MIO_EUR,C10-12,TOTAL,CPA_H49,EU27_2020	35534.59 
A,MIO_EUR,C10-12,TOTAL,CPA_H50,EU27_2020	1592.03 
A,MIO_EUR,C10-12,TOTAL,CPA_H51,EU27_2020	953.58 
A,MIO_EUR,C10-12,TOTAL,CPA_H52,EU27_2020	23690.15 
A,MIO_EUR,C10-12,TOTAL,CPA_H53,EU27_2020	1192.88 
A,MIO_EUR,C10-12,TOTAL,CPA_I,EU27_2020	3344.36 
A,MIO_EUR,C10-12,TOTAL,CPA_J58,EU27_2020	1189.64 
A,MIO_EUR,C10-12,TOTAL,CPA_J59_60,EU27_2020	1935.92 
A,MIO_EUR,C10-12,TOTAL,CPA_J61,EU27_2020	2342.53 
A,MIO_EUR,C10-12,TOTAL,CPA_J62_63,EU27_2020	4767.77 
A,MIO_EUR,C10-12,TOTAL,CPA_K64,EU27_2020	10658.38 
A,MIO_EUR,C10-12,TOTAL,CPA_K65,EU27_2020	2919.61 
