freq,indic_sbs,nace_r2,size_emp,geo\TIME_PERIOD	2022 
A,EMP_NR,B,0-9,EU27_2020	30000 e
A,EMP_NR,B,10-19,EU27_2020	24400 e
A,EMP_NR,B,20-49,EU27_2020	38600 e
A,EMP_NR,B,50-249,EU27_2020	63848 
A,EMP_NR,B,GE250,EU27_2020	213000 e
A,EMP_NR,B,TOTAL,EU27_2020	371000 e
A,EMP_NR,C,0-9,EU27_2020	3720000 e
A,EMP_NR,C,10-19,EU27_2020	2130000 e
A,EMP_NR,C,20-49,EU27_2020	3137995 
A,EMP_NR,C,50-249,EU27_2020	6501120 
A,EMP_NR,C,GE250,EU27_2020	14514113 
A,EMP_NR,C,TOTAL,EU27_2020	30007527 
A,EMP_NR,D,0-9,EU27_2020	192263 
A,EMP_NR,D,10-19,EU27_2020	26554 
A,EMP_NR,D,20-49,EU27_2020	48700 e
A,EMP_NR,D,50-249,EU27_2020	137668 
A,EMP_NR,D,GE250,EU27_2020	977247 
A,EMP_NR,D,TOTAL,EU27_2020	1380000 e
A,EMP_NR,E,0-9,EU27_2020	134000 e
A,EMP_NR,E,10-19,EU27_2020	80000 e
A,EMP_NR,E,20-49,EU27_2020	150000 e
A,EMP_NR,E,50-249,EU27_2020	370000 e
A,EMP_NR,E,GE250,EU27_2020	: c
A,EMP_NR,E,TOTAL,EU27_2020	1585225 
A,EMP_NR,F,0-9,EU27_2020	6463861 
A,EMP_NR,F,0_1,EU27_2020	2292700 
A,EMP_NR,F,10-19,EU27_2020	1989977 
A,EMP_NR,F,2-9,EU27_2020	4171161 
A,EMP_NR,F,20-49,EU27_2020	1869881 
A,EMP_NR,F,50-249,EU27_2020	1756785 
A,EMP_NR,F,GE250,EU27_2020	1733772 
A,EMP_NR,F,TOTAL,EU27_2020	13814274 
A,EMP_NR,G,0-9,EU27_2020	10159638 
A,EMP_NR,G,0_1,EU27_2020	2869697 
A,EMP_NR,G,10-19,EU27_2020	2867238 
A,EMP_NR,G,2-9,EU27_2020	7289941 
A,EMP_NR,G,20-49,EU27_2020	3099214 
A,EMP_NR,G,50-249,EU27_2020	4100000 e
A,EMP_NR,G,GE250,EU27_2020	9600000 e
A,EMP_NR,G,TOTAL,EU27_2020	29779934 
A,EMP_NR,H,0-9,EU27_2020	2132860 
A,EMP_NR,H,0_1,EU27_2020	795843 
A,EMP_NR,H,10-19,EU27_2020	778285 
A,EMP_NR,H,2-9,EU27_2020	1337017 
A,EMP_NR,H,20-49,EU27_2020	1090577 
A,EMP_NR,H,50-249,EU27_2020	1605824 
A,EMP_NR,H,GE250,EU27_2020	4761030 
A,EMP_NR,H,TOTAL,EU27_2020	10368577 
A,EMP_NR,I,0-9,EU27_2020	4500000 e
A,EMP_NR,I,0_1,EU27_2020	670000 e
A,EMP_NR,I,10-19,EU27_2020	1850000 e
A,EMP_NR,I,2-9,EU27_2020	3800000 e
A,EMP_NR,I,20-49,EU27_2020	1570000 e
A,EMP_NR,I,50-249,EU27_2020	1421984 
A,EMP_NR,I,GE250,EU27_2020	1570000 e
A,EMP_NR,I,TOTAL,EU27_2020	10888928 
A,EMP_NR,J,0-9,EU27_2020	1694054 
A,EMP_NR,J,0_1,EU27_2020	839595 
A,EMP_NR,J,10-19,EU27_2020	458755 
A,EMP_NR,J,2-9,EU27_2020	854459 
A,EMP_NR,J,20-49,EU27_2020	648890 
A,EMP_NR,J,50-249,EU27_2020	1252840 
A,EMP_NR,J,GE250,EU27_2020	3115346 
A,EMP_NR,J,TOTAL,EU27_2020	7169884 
A,EMP_NR,K,0-9,EU27_2020	912551 
A,EMP_NR,K,10-19,EU27_2020	: c
A,EMP_NR,K,20-49,EU27_2020	177248 
A,EMP_NR,K,50-249,EU27_2020	494777 
A,EMP_NR,K,GE250,EU27_2020	: c
A,EMP_NR,K,TOTAL,EU27_2020	4950777 
A,EMP_NR,L,0-9,EU27_2020	1703331 
A,EMP_NR,L,0_1,EU27_2020	732689 
A,EMP_NR,L,10-19,EU27_2020	204985 
A,EMP_NR,L,2-9,EU27_2020	970642 
A,EMP_NR,L,20-49,EU27_2020	198000 e
A,EMP_NR,L,50-249,EU27_2020	271677 
A,EMP_NR,L,GE250,EU27_2020	: c
A,EMP_NR,L,TOTAL,EU27_2020	2674967 
A,EMP_NR,M,0-9,EU27_2020	6306152 
A,EMP_NR,M,0_1,EU27_2020	3268760 
A,EMP_NR,M,10-19,EU27_2020	1085161 
A,EMP_NR,M,2-9,EU27_2020	3037392 
A,EMP_NR,M,20-49,EU27_2020	1100000 e
A,EMP_NR,M,50-249,EU27_2020	1360181 
A,EMP_NR,M,GE250,EU27_2020	2200000 e
A,EMP_NR,M,TOTAL,EU27_2020	12013424 
A,EMP_NR,N,0-9,EU27_2020	2443205 
A,EMP_NR,N,0_1,EU27_2020	1054559 
A,EMP_NR,N,10-19,EU27_2020	730461 
A,EMP_NR,N,2-9,EU27_2020	1388646 
A,EMP_NR,N,20-49,EU27_2020	1093974 
A,EMP_NR,N,50-249,EU27_2020	2313468 
A,EMP_NR,N,GE250,EU27_2020	7406264 
A,EMP_NR,N,TOTAL,EU27_2020	13987371 
A,EMP_NR,P,0-9,EU27_2020	1074485 
A,EMP_NR,P,0_1,EU27_2020	572741 
A,EMP_NR,P,10-19,EU27_2020	221804 
A,EMP_NR,P,2-9,EU27_2020	501744 
A,EMP_NR,P,20-49,EU27_2020	290962 
A,EMP_NR,P,50-249,EU27_2020	417229 
A,EMP_NR,P,GE250,EU27_2020	448801 
A,EMP_NR,P,TOTAL,EU27_2020	2453280 
A,EMP_NR,Q,0-9,EU27_2020	3417453 
A,EMP_NR,Q,0_1,EU27_2020	1528116 
A,EMP_NR,Q,10-19,EU27_2020	944000 e
A,EMP_NR,Q,2-9,EU27_2020	1889337 
A,EMP_NR,Q,20-49,EU27_2020	994469 
A,EMP_NR,Q,50-249,EU27_2020	1780000 e
A,EMP_NR,Q,GE250,EU27_2020	6169122 
A,EMP_NR,Q,TOTAL,EU27_2020	13308561 
A,EMP_NR,R,0-9,EU27_2020	1018050 
A,EMP_NR,R,0_1,EU27_2020	532163 
A,EMP_NR,R,10-19,EU27_2020	203295 
A,EMP_NR,R,2-9,EU27_2020	485887 
A,EMP_NR,R,20-49,EU27_2020	247350 
A,EMP_NR,R,50-249,EU27_2020	314087 
A,EMP_NR,R,GE250,EU27_2020	410147 
A,EMP_NR,R,TOTAL,EU27_2020	2192933 
