Data extracted on 10/11/2024 22:37:41 from [ESTAT];;;;;;;;;;;;;;;;
Dataset: ;Enterprise statistics by size class and NACE Rev.2 activity (from 2021 onwards) [sbs_sc_ovw__custom_13696153];;;;;;;;;;;;;;;
Last updated: ;29/10/2024 23:00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;
Economical indicator for structural business statistics;;Persons employed - number;;;;;;;;;;;;;;
Geopolitical entity (reporting);;European Union - 27 countries (from 2020);;;;;;;;;;;;;;
Time;;2022;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
SIZE_EMP (Labels);Total;;From 0 to 1 person employed;;From 0 to 9 persons employed;;From 2 to 9 persons employed;;From 10 to 19 persons employed;;From 20 to 49 persons employed;;From 50 to 249 persons employed;;250 persons employed or more;
NACE_R2 (Labels);;;;;;;;;;;;;;;;
Mining and quarrying;371 000;e;:;;30 000;e;:;;24 400;e;38 600;e;63 848;;213 000;e
Manufacturing;30 007 527;;:;;3 720 000;e;:;;2 130 000;e;3 137 995;;6 501 120;;14 514 113;
Electricity, gas, steam and air conditioning supply;1 380 000;e;:;;192 263;;:;;26 554;;48 700;e;137 668;;977 247;
"Water supply; sewerage, waste management and remediation activities";1 585 225;;:;;134 000;e;:;;80 000;e;150 000;e;370 000;e;:;c
Construction;13 814 274;;2 292 700;;6 463 861;;4 171 161;;1 989 977;;1 869 881;;1 756 785;;1 733 772;
"Wholesale and retail trade; repair of motor vehicles and motorcycles";29 779 934;;2 869 697;;10 159 638;;7 289 941;;2 867 238;;3 099 214;;4 100 000;e;9 600 000;e
Transportation and storage;10 368 577;;795 843;;2 132 860;;1 337 017;;778 285;;1 090 577;;1 605 824;;4 761 030;
Accommodation and food service activities;10 888 928;;670 000;e;4 500 000;e;3 800 000;e;1 850 000;e;1 570 000;e;1 421 984;;1 570 000;e
Information and communication;7 169 884;;839 595;;1 694 054;;854 459;;458 755;;648 890;;1 252 840;;3 115 346;
Financial and insurance activities;4 950 777;;:;;912 551;;:;;:;c;177 248;;494 777;;:;c
Real estate activities;2 674 967;;732 689;;1 703 331;;970 642;;204 985;;198 000;e;271 677;;:;c
Professional, scientific and technical activities;12 013 424;;3 268 760;;6 306 152;;3 037 392;;1 085 161;;1 100 000;e;1 360 181;;2 200 000;e
Administrative and support service activities;13 987 371;;1 054 559;;2 443 205;;1 388 646;;730 461;;1 093 974;;2 313 468;;7 406 264;
Education;2 453 280;;572 741;;1 074 485;;501 744;;221 804;;290 962;;417 229;;448 801;
Human health and social work activities;13 308 561;;1 528 116;;3 417 453;;1 889 337;;944 000;e;994 469;;1 780 000;e;6 169 122;
Arts, entertainment and recreation;2 192 933;;532 163;;1 018 050;;485 887;;203 295;;247 350;;314 087;;410 147;
;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;
c;confidential;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;
